desc_item,next_item,desc_color,next_color,ordered,next_ordered,name,next_customer,citystatezip,next_citystatezip,phone,next_phone
Transformers Blocks,Transformers Blocks,magenta,orange,2020-05-29 12:36:47,2020-05-29 12:57:15,Stanley Krause Jr.,Kristina Colleen Hess,"Brooklyn, NY 11236","New York City, NY 10044",838-737-7735,838-493-1331
Transformers Rubik's Cube,Transformers Rubik's Cube,amber,blue,2020-07-12 12:03:40,2020-07-12 12:41:24,Brian Henson III,Amy Adriana Levy,"Brooklyn, NY 11203","New York City, NY 10013",631-310-6627,718-323-2107
Transformers Fidget Toy,Transformers Fidget Toy,amber,mauve,2020-08-09 11:02:01,2020-08-09 11:52:25,Jesse Barnes,Mark Sosa,"New York City, NY 10128","Jamaica, NY 11434",315-456-7623,716-873-6550
Manual Crockpot,Manual Crockpot,blue,azure,2020-09-08 18:40:35,2020-09-08 18:59:47,Tanner Martinez Jr.,Lydia Chloe Mata,"Bronx, NY 10456","New York City, NY 10021",315-585-1946,315-553-4079
Mini Blender,Mini Blender,white,purple,2020-10-09 18:26:56,2020-10-09 18:49:13,Connor Doyle,Christian Atkins,"Staten Island, NY 10314","New York City, NY 10034",516-571-0714,845-440-6658
Electric Machine,Electric Machine,yellow,magenta,2020-10-31 21:41:34,2020-10-31 21:41:44,Eddie Espinoza III,Mike Finley III,"New York City, NY 10035","Honolulu, HI 96858",716-532-4533,808-908-9141
Mini Machine,Mini Machine,puce,amber,2020-11-05 12:32:12,2020-11-05 12:40:09,Tom Padilla II,Kellie Parsons,"Brooklyn, NY 11234","New York City, NY 10019",585-345-3730,631-765-9632
Transformers Blocks,Transformers Blocks,magenta,orange,2020-11-05 14:25:23,2020-11-05 14:57:01,Javier Hunt IV,Kari Oconnor,"Bronx, NY 10469","New York City, NY 10029",516-615-3734,838-997-3822
Transformers Blocks,Transformers Blocks,orange,magenta,2020-11-11 13:01:32,2020-11-11 13:07:31,Colin Dudley III,Gavin Meza Jr.,"Brooklyn, NY 11230","New York City, NY 10022",585-852-1378,516-830-1560
Electric Machine,Electric Machine,magenta,yellow,2020-12-09 12:25:12,2020-12-09 12:56:36,Joel Fletcher IV,Bonnie Kellie Hull,"New York City, NY 10009","Miami, FL 33131",716-801-2028,561-291-8705
Star Wars Crayons,Star Wars Crayons,azure,puce,2020-12-13 12:40:26,2020-12-13 12:46:21,Paul Shea,Loretta Becky Moran,"Brooklyn, NY 11231","New York City, NY 10011",914-640-9911,516-762-9407
Manual Crockpot,Manual Crockpot,azure,blue,2020-12-18 12:12:16,2020-12-18 12:56:58,Diamond Terry Greer,Barry Sampson,"Brooklyn, NY 11216","New York, NY 10007",516-408-5455,315-569-4142
Electric Machine,Electric Machine,magenta,yellow,2021-01-03 15:40:20,2021-01-03 15:57:00,Bill Schwartz,Jerome Singh IV,"Brooklyn, NY 11203","New York City, NY 10003",516-546-8347,838-848-3725
Electric Machine,Electric Machine,yellow,magenta,2021-01-17 17:35:42,2021-01-17 17:40:32,Raymond Nash,Ross Dickerson IV,"New York City, NY 10024","Brooklyn, NY 11207",315-384-6551,315-391-1204
Vintage Blender,Vintage Blender,red,mauve,2021-01-22 18:22:50,2021-01-22 18:58:19,Phillip Griffith,Wyatt Cohen,"New York City, NY 10023","New York City, NY 10028",585-695-8215,914-523-4382
Transformers Fidget Toy,Transformers Fidget Toy,mauve,amber,2021-02-03 15:28:17,2021-02-03 15:35:07,Parker Vasquez II,Samantha Ellen Brown,"Syracuse, NY 13214","New York City, NY 10011",716-772-2419,585-327-7965
Star Wars Crayons,Star Wars Crayons,puce,azure,2021-02-17 12:08:33,2021-02-17 12:37:58,Brett Horne III,Shaun Bennett,"New York City, NY 10031","Bronx, NY 10465",716-890-2644,838-645-9554
Mini Machine,Mini Machine,amber,puce,2021-03-05 17:18:02,2021-03-05 17:20:33,Erica Gardner,Caitlin Shannon Ibarra,"Jackson Heights, NY 11372","New York City, NY 10016",646-689-4771,838-314-1770
Transformers Rubik's Cube,Transformers Rubik's Cube,amber,blue,2021-03-25 13:07:03,2021-03-25 13:24:45,Douglas Gallegos Jr.,Gregg Downs,"Astoria, NY 11103","New York City, NY 10128",914-621-7430,585-869-5133
Manual Crockpot,Manual Crockpot,azure,blue,2021-05-30 09:34:36,2021-05-30 09:36:33,Meagan Kristen Arnold,David Stephens,"New York City, NY 10044","New York City, NY 10027",585-902-7866,585-214-4095
Transformers Rubik's Cube,Transformers Rubik's Cube,amber,blue,2021-06-10 11:16:18,2021-06-10 11:30:01,Molly Alice Nguyen,Debra Teresa House,"Whitestone, NY 11357","New York City, NY 10032",838-821-9308,838-516-3465
Transformers Rubik's Cube,Transformers Rubik's Cube,blue,amber,2021-07-28 11:26:29,2021-07-28 11:30:57,Tabitha Suarez,Cesar Brooks,"Boca Raton, FL 33434","New York City, NY 10002",239-588-7376,607-567-9983
Manual Crockpot,Manual Crockpot,azure,blue,2021-08-11 18:01:15,2021-08-11 18:33:42,Madison Savannah Hubbard,Ebony Jillian Mclean,"New York City, NY 10012","Elmhurst, NY 11373",914-456-6681,716-273-6086
Star Wars Crayons,Star Wars Crayons,puce,azure,2021-09-26 13:14:00,2021-09-26 13:14:29,Caleb Bird IV,Mariah Deanna Newton,"Bronx, NY 10468","New York City, NY 10003",838-791-0095,516-324-9352
Vintage Blender,Vintage Blender,mauve,red,2021-09-30 09:50:06,2021-09-30 09:55:40,Lee Kline Jr.,Jared Wiley Jr.,"New York City, NY 10069","Bronx, NY 10452",716-542-9350,716-989-9551
Manual Crockpot,Manual Crockpot,blue,azure,2021-10-20 12:37:24,2021-10-20 12:59:57,Ariel Blackwell,Tristan Wilkerson,"New York City, NY 10032","Lemoore, CA 93245",716-245-4872,279-432-2455
Mini Machine,Mini Machine,amber,puce,2021-10-21 11:05:14,2021-10-21 11:52:17,Danielle Gabriella Best,Frank Fry,"New York City, NY 10024","Brooklyn, NY 11223",585-389-1531,347-621-5670
Star Wars Crayons,Star Wars Crayons,puce,azure,2021-11-12 17:16:03,2021-11-12 17:21:44,Jake Cooley II,Colton Vasquez II,"New York City, NY 10025","Jackson Heights, NY 11372",212-771-8635,315-201-5053
Manual Crockpot,Manual Crockpot,azure,blue,2021-12-06 18:13:45,2021-12-06 18:40:56,Karla Mia Huynh,Emily Beck,"New York City, NY 10003","Staten Island, NY 10303",631-924-0980,718-910-7358
Transformers Blocks,Transformers Blocks,magenta,orange,2021-12-19 11:00:06,2021-12-19 11:01:02,Christian Olson,Joseph Knight,"New York City, NY 10031","New York City, NY 10036",914-560-6621,315-903-0308
Mini Machine,Mini Machine,amber,puce,2021-12-23 12:25:33,2021-12-23 12:31:16,Chad Lin,Cheryl Cassidy Bright,"New York City, NY 10011","New York City, NY 10032",934-281-2616,516-385-1412
Manual Crockpot,Manual Crockpot,blue,azure,2022-01-28 20:13:09,2022-01-28 20:15:02,Sean Anderson,Kelsey Reed,"Astoria, NY 11105","New York City, NY 10002",516-991-4540,718-496-0055
Vintage Blender,Vintage Blender,red,mauve,2022-02-10 17:01:06,2022-02-10 17:40:25,Katie Sandy Bentley,Collin Bates,"Brooklyn, NY 11238","New York City, NY 10001",838-743-9761,315-932-3130
Vintage Blender,Vintage Blender,mauve,red,2022-02-13 12:03:13,2022-02-13 12:19:58,Darren Holt,Jonathan Park V,"Saint Albans, NY 11412","New York City, NY 10034",838-452-1306,838-762-9139
Manual Crockpot,Manual Crockpot,blue,azure,2022-03-04 15:19:25,2022-03-04 15:54:47,Meredith Christensen,Annette Yolanda Olson,"New York City, NY 10009","Warrensburg, MO 64093",585-430-2392,314-385-8839
Mini Blender,Mini Blender,purple,white,2022-03-10 10:43:32,2022-03-10 10:56:22,Brandy Audrey Whitehead,Howard Gutierrez V,"New York City, NY 10029","Lawton, OK 73505",838-396-1588,918-387-4387
Vintage Blender,Vintage Blender,red,mauve,2022-04-16 12:02:14,2022-04-16 12:18:44,Don Harmon,Loretta Janet Rivera,"New York City, NY 10033","Brooklyn, NY 11204",914-501-2477,516-683-2033
Vintage Blender,Vintage Blender,red,mauve,2022-07-23 12:09:35,2022-07-23 12:19:02,Gerald Beck IV,Leslie Mcpherson,"Bronx, NY 10452","New York City, NY 10021",585-793-2597,716-483-0638
Transformers Rubik's Cube,Transformers Rubik's Cube,blue,amber,2022-08-09 18:03:01,2022-08-09 18:19:35,Eduardo Petersen,Jo Tara Stevens,"Pittsburgh, PA 15234","New York City, NY 10013",570-542-6258,838-748-0093
Vintage Blender,Vintage Blender,mauve,red,2022-08-11 09:02:08,2022-08-11 09:45:47,Kirsten Chang,Kari Chelsey Snow,"Washington, DC 20045","New York City, NY 10025",771-788-1459,838-574-9295
Vintage Blender,Vintage Blender,mauve,red,2022-08-29 22:07:33,2022-08-29 22:38:41,Walter Marquez Jr.,Trevor Bolton,"New York City, NY 10029","Corona, NY 11368",914-577-7833,315-785-3989
Super Machine,Super Machine,white,orange,2022-09-12 12:16:51,2022-09-12 12:46:47,Jason Mills III,Clayton Hammond IV,"New York City, NY 10023","Bronx, NY 10456",914-311-3861,212-931-3871
Transformers Rubik's Cube,Transformers Rubik's Cube,blue,amber,2022-10-10 13:10:44,2022-10-10 13:47:20,Tom Hubbard,Kent Hopkins,"New York City, NY 10027","New York City, NY 10035",929-358-4284,914-753-8934
Star Wars Toy Soldier,Star Wars Toy Soldier,yellow,blue,2022-10-11 10:30:13,2022-10-11 10:59:29,Valerie Fleming,Jacqueline Jeanette Chapman,"Staten Island, NY 10312","New York City, NY 10009",516-433-8294,585-805-9859
